epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,26956,1.46723,1.45438,1.59181,0.85707,0.80675,0.86368,0.57254,1.19617,0.7924,1.49857,0.00604,0.00604,0.00604
122,27177.5,1.46944,1.46665,1.5842,0.85695,0.80596,0.86455,0.57379,1.19607,0.79162,1.49729,0.006007,0.006007,0.006007
123,27396.3,1.47048,1.4211,1.59177,0.85589,0.80472,0.86366,0.57336,1.19587,0.79105,1.49665,0.005974,0.005974,0.005974
124,27616.9,1.46488,1.49624,1.58377,0.8583,0.80335,0.86383,0.57365,1.19485,0.79104,1.49534,0.005941,0.005941,0.005941
125,27840.2,1.43793,1.46269,1.56491,0.85752,0.80344,0.86364,0.57425,1.19435,0.79075,1.49405,0.005908,0.005908,0.005908
126,28060,1.44761,1.42484,1.57367,0.85784,0.80613,0.86347,0.57503,1.19353,0.78932,1.49322,0.005875,0.005875,0.005875
127,28277.6,1.47271,1.42836,1.5773,0.85693,0.80821,0.86359,0.5753,1.19308,0.78887,1.49293,0.005842,0.005842,0.005842
128,28495.2,1.46313,1.50612,1.5779,0.85779,0.80579,0.8642,0.57456,1.19254,0.78781,1.49148,0.005809,0.005809,0.005809
129,28712.9,1.44967,1.45537,1.57179,0.85874,0.80628,0.86467,0.57499,1.19204,0.78723,1.49021,0.005776,0.005776,0.005776
130,28930.6,1.46962,1.45249,1.59092,0.85717,0.8074,0.8648,0.57568,1.19164,0.78621,1.48967,0.005743,0.005743,0.005743
131,29148.3,1.45563,1.44132,1.59409,0.85982,0.80766,0.86511,0.57518,1.19153,0.78549,1.48966,0.00571,0.00571,0.00571
132,29365.9,1.46394,1.45511,1.58819,0.86054,0.80665,0.86527,0.57562,1.19106,0.78428,1.48873,0.005677,0.005677,0.005677
133,29583.6,1.43578,1.394,1.56073,0.86072,0.80785,0.86646,0.57673,1.19087,0.78363,1.48774,0.005644,0.005644,0.005644
134,29801.1,1.45534,1.44543,1.58504,0.862,0.81062,0.86699,0.57645,1.19061,0.78362,1.48767,0.005611,0.005611,0.005611
135,30018.6,1.47446,1.46329,1.60371,0.8611,0.81011,0.86728,0.57662,1.18989,0.78363,1.48649,0.005578,0.005578,0.005578
136,30236.2,1.47316,1.47464,1.60321,0.85941,0.81298,0.86792,0.5766,1.18912,0.78257,1.48513,0.005545,0.005545,0.005545
137,30454,1.45976,1.45188,1.58914,0.86178,0.80911,0.86881,0.57708,1.18793,0.78094,1.48429,0.005512,0.005512,0.005512
138,30671.8,1.44185,1.41701,1.56765,0.86241,0.80916,0.86885,0.57638,1.1874,0.78002,1.48426,0.005479,0.005479,0.005479
139,30889.5,1.47739,1.45177,1.59229,0.85709,0.81264,0.86912,0.57669,1.1869,0.77876,1.48379,0.005446,0.005446,0.005446
140,31107.2,1.43728,1.39544,1.57605,0.85706,0.81243,0.87009,0.5775,1.18623,0.77807,1.48283,0.005413,0.005413,0.005413
141,31324.7,1.4321,1.43658,1.56626,0.85718,0.81321,0.86977,0.57777,1.18588,0.77796,1.48182,0.00538,0.00538,0.00538
142,31542.6,1.45387,1.40225,1.57445,0.85804,0.81393,0.87082,0.57844,1.18515,0.77871,1.48069,0.005347,0.005347,0.005347
143,31760.2,1.43105,1.39843,1.57151,0.85795,0.81202,0.87048,0.57962,1.18463,0.77801,1.4799,0.005314,0.005314,0.005314
144,31978,1.43294,1.36693,1.57199,0.85883,0.81298,0.87036,0.58025,1.184,0.77709,1.47909,0.005281,0.005281,0.005281
145,32195.7,1.43588,1.39432,1.55546,0.85767,0.81298,0.8713,0.58078,1.18329,0.77722,1.47944,0.005248,0.005248,0.005248
146,32413.5,1.45151,1.38355,1.57649,0.85649,0.81434,0.87156,0.58125,1.1831,0.77556,1.4783,0.005215,0.005215,0.005215
147,32631.2,1.43277,1.42906,1.56404,0.85598,0.81393,0.87171,0.58156,1.18312,0.77461,1.47813,0.005182,0.005182,0.005182
148,32848.9,1.43932,1.39219,1.57553,0.85747,0.81393,0.87285,0.58213,1.18322,0.77416,1.47769,0.005149,0.005149,0.005149
149,33066.6,1.44177,1.42036,1.57126,0.8582,0.81426,0.87332,0.58202,1.18275,0.77313,1.47684,0.005116,0.005116,0.005116
150,33284.4,1.41237,1.36433,1.5522,0.8592,0.81393,0.87381,0.58268,1.18256,0.77241,1.47656,0.005083,0.005083,0.005083
